Adjusted Close,Weighted Moving Average,Inverted Close,Inverted WMA
21.959999,19.145254947450976,3096.629883,2621.674612032157
21.809999,19.15136471215686,3094.040039,2628.3133021152944
21.950001,19.155921575686275,3091.840088,2638.91651252
21.99,19.162635341176475,3087.01001,2649.810482901961
21.91,19.163686282352945,3093.080078,2668.0638976282357
21.65,19.178596047058832,3085.179932,2685.4736967756867
22,19.19929412627451,3076.780029,2705.7186686274517
21.76,19.22120781254901,3074.620117,2722.156413529411
21.68,19.248196049411774,3078.27002,2737.529091238431
21.99,19.284674483137263,3066.909912,2756.7834604823533
21.950001,19.319317622745093,3037.560059,2773.14984166196
22.24,19.35344311529412,3046.77002,2796.0876583584322
22.24,19.399231352156864,3036.889893,2820.769842799216
22.389999,19.445576411764705,3039.419922,2854.3261674909804
22.549999,19.49690978588234,3022.550049,2886.048216927058
